,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document,Person_id
10, They don t have free wifi,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,7
11, The location is perfect if you don t have a lot of time ,8,8_great_easy_transport_location great location,"['great', 'easy', 'transport', 'location great location', 'shopping', 'centre', 'streets', 'public', 'free wifi', 'far']","[' Great location ', ' Great location ', ' Great location ']",great - easy - transport - location great location - shopping - centre - streets - public - free wifi - far,1.0,False,8
12, you want to have a look at the city centre ,8,8_great_easy_transport_location great location,"['great', 'easy', 'transport', 'location great location', 'shopping', 'centre', 'streets', 'public', 'free wifi', 'far']","[' Great location ', ' Great location ', ' Great location ']",great - easy - transport - location great location - shopping - centre - streets - public - free wifi - far,1.0,False,8
13, Room generally a bit shabby with some lack of maintenance Some crumbs on bedroom floor these issues did not spoil our minibreak It would be nice to have vegetarian sausages available for breakfast ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,9
14, Location price It did not cost much more to have breakfast included Room was a reasonable size ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.7671672761629212,False,10
15, bed was comfortable ,6,6_bed hard_staff_pillow_really,"['bed hard', 'staff', 'pillow', 'really', 'extra', 'comfortable beds', 'really comfy', 'amazing', 'bit', 'location']","[' bed', ' bed ', ' bed']",bed hard - staff - pillow - really - extra - comfortable beds - really comfy - amazing - bit - location,1.0,False,10
16, Executive rooms 9th Floor don t have a bath Their website made it look like all rooms did have one ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,0.88013793016743,False,11
17, when being at the end of a hall there s no wifi connection possible Mind that during my first two stays here I did have a perfect wifi connection ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,11
18, Comphy bed upgraded to executive room with nespresso machine etc for only 24 3 nights quiet room clean 4 free waters in the fridge tho no refill ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.1917122581880682,False,12
19, close to Hammersmith station shops ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,12
20, Starbucks Olympia is in walking distance too,11,11_metro_minute_central_milan,"['metro', 'minute', 'central', 'milan', 'walking', '10', 'earls', 'court tube', 'paddington station', 'close train']","[' tube station is 5 min walk ', ' Metro Station ', ' tube station']",metro - minute - central - milan - walking - 10 - earls - court tube - paddington station - close train,1.0,False,12
21, Pity about the two days of rain,12,12_air conditioning_windows_weather_conditioner,"['air conditioning', 'windows', 'weather', 'conditioner', 'noisy', 'con', 'bathroom', 'complained', 'days', 'also']","[' Air conditioning didn t work ', ' Air conditioning did not work ', ' The Air conditioning did not work in the room ']",air conditioning - windows - weather - conditioner - noisy - con - bathroom - complained - days - also,1.0,False,13
22, Its centrality proximity to our destination,8,8_great_easy_transport_location great location,"['great', 'easy', 'transport', 'location great location', 'shopping', 'centre', 'streets', 'public', 'free wifi', 'far']","[' Great location ', ' Great location ', ' Great location ']",great - easy - transport - location great location - shopping - centre - streets - public - free wifi - far,0.6573224009096907,False,14
23, Didn t like it at all construction was in progress stuff lied to us about vacancy ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,15
24, Didn t like anything about the stay if i had a chance to change or cancel it I would do it right away ,2,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",beautiful - helpful - definitely - one - metro - friendly staff - milan - amsterdam - service - hotels,0.8004562290888705,False,16
25, N A,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,1.0,False,17
26, Free upgrade in Executive Double room complementary daily access to the Spa area Modern design Big ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,0.9957550906113202,False,18
27, cozy room Open space between bathroom ,7,7_hair_space_small_door,"['hair', 'space', 'small', 'door', 'bathroom bathroom', 'dirty', 'cracked', 'apart', 'dated', 'also']","[' big bathroom', ' The shower ', ' bathroom']",hair - space - small - door - bathroom bathroom - dirty - cracked - apart - dated - also,0.9748164157828488,False,18
28, bedroom is a great concept suitable for a couple Free parking option available Easy to reach from highway ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,18
29, The location breakfast friendly staff nice rooms,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.6186615801716352,False,19
30, Pool was very small ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,20
31, kind of chemical too much chlorine,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,20
32, Top location near Amsterdam Central Urban room was perfect ,2,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",beautiful - helpful - definitely - one - metro - friendly staff - milan - amsterdam - service - hotels,0.5636586572028054,False,21
33, everything was br,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,1.0,False,21
34, new Bed is like heaven Personnel is quite busy but always responsive ,6,6_bed hard_staff_pillow_really,"['bed hard', 'staff', 'pillow', 'really', 'extra', 'comfortable beds', 'really comfy', 'amazing', 'bit', 'location']","[' bed', ' bed ', ' bed']",bed hard - staff - pillow - really - extra - comfortable beds - really comfy - amazing - bit - location,0.5158542988870155,False,21
35, friendly ,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,0.7007124997633436,False,21
36, In the room they gave us first wi fi signal was very low When we pointed out that the staff immediatly proposed us to change room in order to have a better internet service So we really appreciated their availability However they could work to improve the wi fi system all around the building ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,22
37, The staff was very kind ,3,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",reception - excellent - professional - welcoming - staff staff friendly - always - services - friendly helpful - attentive - help,1.0,False,23
38, polite ,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,0.7007124997633436,False,23
39, they quickly took care of all our needs The rooms are very comfortable ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,23
40, the cleanings are perfect ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,23
41, Breakfast was okay Typical European but did start at 6am which was good as we had an early flight out ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,1.0,False,24
42, H,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,1.0,False,25
43,y location can see it from the Central train station We got a special deal on a suite so had a decent sized room ,11,11_metro_minute_central_milan,"['metro', 'minute', 'central', 'milan', 'walking', '10', 'earls', 'court tube', 'paddington station', 'close train']","[' tube station is 5 min walk ', ' Metro Station ', ' tube station']",metro - minute - central - milan - walking - 10 - earls - court tube - paddington station - close train,1.0,False,25
44, I loved everything about the place The location was good ,8,8_great_easy_transport_location great location,"['great', 'easy', 'transport', 'location great location', 'shopping', 'centre', 'streets', 'public', 'free wifi', 'far']","[' Great location ', ' Great location ', ' Great location ']",great - easy - transport - location great location - shopping - centre - streets - public - free wifi - far,0.7535088061692051,False,26
45, the staff I can proudly say was very very friendly ,3,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",reception - excellent - professional - welcoming - staff staff friendly - always - services - friendly helpful - attentive - help,0.6764217064301644,False,26
46, helpful to the maximum I will come back God willing ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,26
47, 1 Bed was faulty seemed to dip in the middle very uncomfortable 2 VERY noisy room so got very little sleep because of 1 ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,27
48, 2 3 Make up mirror faulty 4 Cleaning disturbing me when I m trying to get ready for work 5 Concierge whose response was oh dear i was not impressed ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,27
49, Locate ideal clean facility,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,28
50, Breakfast buffet,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.6697654388514181,False,29
51, Very noisy room close to an extrrnal electricity cell buzzing loud all the time air conditioning with poor control cheap fixtures very small room poor value for the money spent quite a lot ,13,13_door_next_busy_windows,"['door', 'next', 'busy', 'windows', 'hear', 'centre', 'poor', 'comfortable', 'light', 'street quiet']","[' The noise ', ' Construction site next door meant it was a bit noisy in our room first thing Railway close by too so added noise but not unbearable ', ' terrible bed in family room not suitable for 2 adults too loud windows looking at the street should be closed all the time otherwise too much noise coming from outside traffic restaurant in front too much overpriced for the current state of the rooms refurbishment needed ']",door - next - busy - windows - hear - centre - poor - comfortable - light - street quiet,1.0,False,30
52, Location,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,True,31
53, All the hotel facilities were great 10 minutes walk to the beach ,2,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",beautiful - helpful - definitely - one - metro - friendly staff - milan - amsterdam - service - hotels,0.992299312254512,False,32
54, easy access to the city via the metro ,11,11_metro_minute_central_milan,"['metro', 'minute', 'central', 'milan', 'walking', '10', 'earls', 'court tube', 'paddington station', 'close train']","[' tube station is 5 min walk ', ' Metro Station ', ' tube station']",metro - minute - central - milan - walking - 10 - earls - court tube - paddington station - close train,1.0,False,32
55, Room rate a bit expensive Breakfast included in the room rate is very basic Need to pay more attention to room cleaning,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.7671672761629212,False,33
56, The Location ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,34
57, the view Close to the Duomo The Staff especially in reception ,3,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",reception - excellent - professional - welcoming - staff staff friendly - always - services - friendly helpful - attentive - help,0.32287600499895314,False,34
58, a desire to help,3,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",reception - excellent - professional - welcoming - staff staff friendly - always - services - friendly helpful - attentive - help,0.5468215391258735,False,34
59, Nothing to dislike,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,35
60, Location Culture bars ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,36
61, restaurants Transport Cleanliness of hotel ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,36
62, city ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,36
63, I wouldn t say it was a 5 star hotel but a very good 4 Star,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,37
64, Staff were very helpful food was lovely ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.6186615801716352,False,38
65, excellent value for money ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,38
66, Good location for Camden Lock ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,39
67, market wouldn t want to pay the walk in price though,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,39
68, What a lovely hotel The welcome was fantastic ,2,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",beautiful - helpful - definitely - one - metro - friendly staff - milan - amsterdam - service - hotels,1.0,False,40
69, lovely treats left in room ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.6186615801716352,False,40
70, upgrade as our anniversary The room was spacious ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,0.9957550906113202,False,40
71, the bathroom huge The room was great with a wonderful bed v comfortable We popped out for a walk via the secret jugged pub ,7,7_hair_space_small_door,"['hair', 'space', 'small', 'door', 'bathroom bathroom', 'dirty', 'cracked', 'apart', 'dated', 'also']","[' big bathroom', ' The shower ', ' bathroom']",hair - space - small - door - bathroom bathroom - dirty - cracked - apart - dated - also,0.9046033721418779,False,40
72, sneaked back in for a wonderful night sleep Will definitely return again ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,40
