Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,asymmetric,0.9099999999999999,0.4889271988928272
75% Corpus,4,asymmetric,symmetric,0.3658266780282098
75% Corpus,5,0.01,0.01,0.36699629487327046
75% Corpus,5,0.01,0.31,0.3958428004732924
75% Corpus,5,0.01,0.61,0.3741481854947898
75% Corpus,5,0.01,0.9099999999999999,0.3736910790152937
75% Corpus,5,0.01,symmetric,0.36070219337464593
75% Corpus,5,0.31,0.01,0.38927549587180554
75% Corpus,5,0.31,0.31,0.3978270514814295
75% Corpus,5,0.31,0.61,0.3872944745435746
75% Corpus,5,0.31,0.9099999999999999,0.3784229172345547
75% Corpus,5,0.31,symmetric,0.39776147151245544
75% Corpus,5,0.61,0.01,0.42087947466275866
75% Corpus,5,0.61,0.31,0.4283226164999179
75% Corpus,5,0.61,0.61,0.45197078622280695
75% Corpus,5,0.61,0.9099999999999999,0.4388718904390922
75% Corpus,5,0.61,symmetric,0.4296392580741566
75% Corpus,5,0.9099999999999999,0.01,0.44173185251734237
75% Corpus,5,0.9099999999999999,0.31,0.4171372697444172
75% Corpus,5,0.9099999999999999,0.61,0.39200603998830796
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.40190229850487275
75% Corpus,5,0.9099999999999999,symmetric,0.41747200684949703
75% Corpus,5,symmetric,0.01,0.3916153776710086
75% Corpus,5,symmetric,0.31,0.3893351802952309
75% Corpus,5,symmetric,0.61,0.34318356373843945
75% Corpus,5,symmetric,0.9099999999999999,0.35721942695709974
75% Corpus,5,symmetric,symmetric,0.3979880576083481
75% Corpus,5,asymmetric,0.01,0.3941717812374354
75% Corpus,5,asymmetric,0.31,0.43181424585428096
75% Corpus,5,asymmetric,0.61,0.40058217735088564
75% Corpus,5,asymmetric,0.9099999999999999,0.5420396655430242
75% Corpus,5,asymmetric,symmetric,0.3991153350021378
75% Corpus,6,0.01,0.01,0.3861434562089405
75% Corpus,6,0.01,0.31,0.36952858204092776
75% Corpus,6,0.01,0.61,0.34289562802265355
75% Corpus,6,0.01,0.9099999999999999,0.35833649323640787
75% Corpus,6,0.01,symmetric,0.36814751809869933
75% Corpus,6,0.31,0.01,0.3715883443472115
75% Corpus,6,0.31,0.31,0.3825192722689772
75% Corpus,6,0.31,0.61,0.4070699393287816
75% Corpus,6,0.31,0.9099999999999999,0.4450050279173869
75% Corpus,6,0.31,symmetric,0.3979005502068918
75% Corpus,6,0.61,0.01,0.4048518719178416
75% Corpus,6,0.61,0.31,0.41213751372520924
75% Corpus,6,0.61,0.61,0.4535205024744496
75% Corpus,6,0.61,0.9099999999999999,0.448847558674392
75% Corpus,6,0.61,symmetric,0.3820461707947714
75% Corpus,6,0.9099999999999999,0.01,0.43444519701776
75% Corpus,6,0.9099999999999999,0.31,0.3908546784698393
75% Corpus,6,0.9099999999999999,0.61,0.43113978827644894
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4107051937594193
75% Corpus,6,0.9099999999999999,symmetric,0.40420568042955335
75% Corpus,6,symmetric,0.01,0.4208918154183401
75% Corpus,6,symmetric,0.31,0.38654346122435285
75% Corpus,6,symmetric,0.61,0.38526145925473404
75% Corpus,6,symmetric,0.9099999999999999,0.38274103553934413
75% Corpus,6,symmetric,symmetric,0.382574160247918
75% Corpus,6,asymmetric,0.01,0.4881147863416415
75% Corpus,6,asymmetric,0.31,0.6020256866237993
75% Corpus,6,asymmetric,0.61,0.6300165078595397
75% Corpus,6,asymmetric,0.9099999999999999,0.7060007295691711
75% Corpus,6,asymmetric,symmetric,0.5273335689443381
75% Corpus,7,0.01,0.01,0.3824177503650087
75% Corpus,7,0.01,0.31,0.38779513632750223
75% Corpus,7,0.01,0.61,0.40855199522527474
75% Corpus,7,0.01,0.9099999999999999,0.40058647454603546
75% Corpus,7,0.01,symmetric,0.38660981565901315
75% Corpus,7,0.31,0.01,0.40403378735555234
75% Corpus,7,0.31,0.31,0.36896077632577134
75% Corpus,7,0.31,0.61,0.4113020811566109
75% Corpus,7,0.31,0.9099999999999999,0.3819024619198705
75% Corpus,7,0.31,symmetric,0.40750809471324195
75% Corpus,7,0.61,0.01,0.41534645556847993
75% Corpus,7,0.61,0.31,0.4036226223617292
75% Corpus,7,0.61,0.61,0.450620784098824
75% Corpus,7,0.61,0.9099999999999999,0.45284720411421336
75% Corpus,7,0.61,symmetric,0.4033275761466513
75% Corpus,7,0.9099999999999999,0.01,0.4346864782022353
75% Corpus,7,0.9099999999999999,0.31,0.384112799536379
75% Corpus,7,0.9099999999999999,0.61,0.4445570545067958
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4388210456651147
75% Corpus,7,0.9099999999999999,symmetric,0.4181829538098799
75% Corpus,7,symmetric,0.01,0.40857502408681634
75% Corpus,7,symmetric,0.31,0.40241595066471253
75% Corpus,7,symmetric,0.61,0.39199658451633596
75% Corpus,7,symmetric,0.9099999999999999,0.40961867031468635
75% Corpus,7,symmetric,symmetric,0.4070128991642978
75% Corpus,7,asymmetric,0.01,0.4833378588213494
75% Corpus,7,asymmetric,0.31,0.49245587692672127
75% Corpus,7,asymmetric,0.61,0.5910980390884247
75% Corpus,7,asymmetric,0.9099999999999999,0.6877732868083056
75% Corpus,7,asymmetric,symmetric,0.5031298543672899
75% Corpus,8,0.01,0.01,0.4161764724460376
75% Corpus,8,0.01,0.31,0.4142343080364926
75% Corpus,8,0.01,0.61,0.4044076733618771
75% Corpus,8,0.01,0.9099999999999999,0.3891666922540258
75% Corpus,8,0.01,symmetric,0.4204460589254299
75% Corpus,8,0.31,0.01,0.4596457436961078
75% Corpus,8,0.31,0.31,0.4675685845232698
75% Corpus,8,0.31,0.61,0.46516597158397605
75% Corpus,8,0.31,0.9099999999999999,0.4630521669739289
75% Corpus,8,0.31,symmetric,0.4458238982543192
75% Corpus,8,0.61,0.01,0.44104373575434985
75% Corpus,8,0.61,0.31,0.4305896104186518
75% Corpus,8,0.61,0.61,0.4676887703205177
75% Corpus,8,0.61,0.9099999999999999,0.4776586365442637
75% Corpus,8,0.61,symmetric,0.4085243383226169
75% Corpus,8,0.9099999999999999,0.01,0.44565399772754233
75% Corpus,8,0.9099999999999999,0.31,0.47577909303711763
75% Corpus,8,0.9099999999999999,0.61,0.5117390463117466
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.5078705334900556
75% Corpus,8,0.9099999999999999,symmetric,0.41763495858085886
75% Corpus,8,symmetric,0.01,0.4336824658076743
75% Corpus,8,symmetric,0.31,0.4032379007384823
75% Corpus,8,symmetric,0.61,0.40535772414789806
75% Corpus,8,symmetric,0.9099999999999999,0.4042873239864019
75% Corpus,8,symmetric,symmetric,0.41898525587860597
75% Corpus,8,asymmetric,0.01,0.4562973624476789
75% Corpus,8,asymmetric,0.31,0.5098024366346595
75% Corpus,8,asymmetric,0.61,0.5515190290794565
75% Corpus,8,asymmetric,0.9099999999999999,0.5499399795864728
75% Corpus,8,asymmetric,symmetric,0.5183135076586035
75% Corpus,9,0.01,0.01,0.39081477448205304
75% Corpus,9,0.01,0.31,0.3946135362394805
75% Corpus,9,0.01,0.61,0.36827181453458696
75% Corpus,9,0.01,0.9099999999999999,0.4183949073220132
75% Corpus,9,0.01,symmetric,0.402150716622779
75% Corpus,9,0.31,0.01,0.4217434523296103
75% Corpus,9,0.31,0.31,0.3916711775468138
75% Corpus,9,0.31,0.61,0.4267046419218415
75% Corpus,9,0.31,0.9099999999999999,0.4629113822026004
75% Corpus,9,0.31,symmetric,0.4227359389828804
75% Corpus,9,0.61,0.01,0.4508948773576582
75% Corpus,9,0.61,0.31,0.4886070832429008
75% Corpus,9,0.61,0.61,0.4578207148136
75% Corpus,9,0.61,0.9099999999999999,0.484801682712627
75% Corpus,9,0.61,symmetric,0.41518659562049065
75% Corpus,9,0.9099999999999999,0.01,0.48425226292909795
75% Corpus,9,0.9099999999999999,0.31,0.4763620863988735
75% Corpus,9,0.9099999999999999,0.61,0.49982112679850815
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.501220435330372
75% Corpus,9,0.9099999999999999,symmetric,0.4499240799893473
75% Corpus,9,symmetric,0.01,0.40312385847923604
75% Corpus,9,symmetric,0.31,0.4044210271161247
75% Corpus,9,symmetric,0.61,0.40874835848368174
75% Corpus,9,symmetric,0.9099999999999999,0.419740512342355
75% Corpus,9,symmetric,symmetric,0.3928722111010569
75% Corpus,9,asymmetric,0.01,0.45759941084431993
75% Corpus,9,asymmetric,0.31,0.5636902214797246
75% Corpus,9,asymmetric,0.61,0.5641940356532686
75% Corpus,9,asymmetric,0.9099999999999999,0.5650981237781241
75% Corpus,9,asymmetric,symmetric,0.47367580704698525
75% Corpus,10,0.01,0.01,0.40493976604652787
75% Corpus,10,0.01,0.31,0.37278149084426326
75% Corpus,10,0.01,0.61,0.4456289217143493
75% Corpus,10,0.01,0.9099999999999999,0.3598543258594824
75% Corpus,10,0.01,symmetric,0.40335794064822605
75% Corpus,10,0.31,0.01,0.4611724353434429
75% Corpus,10,0.31,0.31,0.46172324473623194
75% Corpus,10,0.31,0.61,0.47317104322268994
75% Corpus,10,0.31,0.9099999999999999,0.47884659869521473
75% Corpus,10,0.31,symmetric,0.4104775485375801
75% Corpus,10,0.61,0.01,0.45830114370292285
75% Corpus,10,0.61,0.31,0.47004309026302904
75% Corpus,10,0.61,0.61,0.4784834029926107
75% Corpus,10,0.61,0.9099999999999999,0.520722617982367
75% Corpus,10,0.61,symmetric,0.4494859668524036
75% Corpus,10,0.9099999999999999,0.01,0.4457262103512968
75% Corpus,10,0.9099999999999999,0.31,0.49071438474011264
75% Corpus,10,0.9099999999999999,0.61,0.505445249258143
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.4875103278014146
75% Corpus,10,0.9099999999999999,symmetric,0.445789494148393
75% Corpus,10,symmetric,0.01,0.4264440403038382
75% Corpus,10,symmetric,0.31,0.37234818285428767
75% Corpus,10,symmetric,0.61,0.42774998691918764
75% Corpus,10,symmetric,0.9099999999999999,0.4432326545299124
75% Corpus,10,symmetric,symmetric,0.41994108521553264
75% Corpus,10,asymmetric,0.01,0.46407697962654354
75% Corpus,10,asymmetric,0.31,0.5950776150912531
75% Corpus,10,asymmetric,0.61,0.643108250653041
75% Corpus,10,asymmetric,0.9099999999999999,0.5606629799737692
75% Corpus,10,asymmetric,symmetric,0.44043692071162555
100% Corpus,2,0.01,0.01,0.4051415869573756
100% Corpus,2,0.01,0.31,0.40514158695737545
100% Corpus,2,0.01,0.61,0.41705914430875646
100% Corpus,2,0.01,0.9099999999999999,0.4034717348052959
100% Corpus,2,0.01,symmetric,0.4160997043460223
100% Corpus,2,0.31,0.01,0.39584610728648845
100% Corpus,2,0.31,0.31,0.40792988309090444
100% Corpus,2,0.31,0.61,0.4128407788949348
100% Corpus,2,0.31,0.9099999999999999,0.4137694217383903
100% Corpus,2,0.31,symmetric,0.40792988309090444
100% Corpus,2,0.61,0.01,0.39768097937668284
100% Corpus,2,0.61,0.31,0.4036656860001432
100% Corpus,2,0.61,0.61,0.407297841721018
100% Corpus,2,0.61,0.9099999999999999,0.4072978417210181
100% Corpus,2,0.61,symmetric,0.40729784172101813
100% Corpus,2,0.9099999999999999,0.01,0.4072978417210181
100% Corpus,2,0.9099999999999999,0.31,0.40189971435411226
100% Corpus,2,0.9099999999999999,0.61,0.4018997143541123
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.40189971435411226
100% Corpus,2,0.9099999999999999,symmetric,0.4018997143541123
100% Corpus,2,symmetric,0.01,0.3913225122562997
100% Corpus,2,symmetric,0.31,0.39132251225629966
100% Corpus,2,symmetric,0.61,0.39132251225629966
100% Corpus,2,symmetric,0.9099999999999999,0.4031300415433817
100% Corpus,2,symmetric,symmetric,0.39132251225629966
100% Corpus,2,asymmetric,0.01,0.42427505870915416
100% Corpus,2,asymmetric,0.31,0.4331388003040736
100% Corpus,2,asymmetric,0.61,0.4698170427157249
100% Corpus,2,asymmetric,0.9099999999999999,0.4183539933162275
100% Corpus,2,asymmetric,symmetric,0.46329058064146156
100% Corpus,3,0.01,0.01,0.3553445434555895
100% Corpus,3,0.01,0.31,0.37095070906996663
100% Corpus,3,0.01,0.61,0.3706673428043479
100% Corpus,3,0.01,0.9099999999999999,0.3540175510877077
100% Corpus,3,0.01,symmetric,0.37095070906996663
100% Corpus,3,0.31,0.01,0.4030040871221054
100% Corpus,3,0.31,0.31,0.38619072067598714
100% Corpus,3,0.31,0.61,0.3808244737073741
100% Corpus,3,0.31,0.9099999999999999,0.3865944455164542
100% Corpus,3,0.31,symmetric,0.38619072067598714
100% Corpus,3,0.61,0.01,0.3541537703259497
100% Corpus,3,0.61,0.31,0.3474744494707971
100% Corpus,3,0.61,0.61,0.3703817661518313
100% Corpus,3,0.61,0.9099999999999999,0.3844327230981193
100% Corpus,3,0.61,symmetric,0.353714554804818
100% Corpus,3,0.9099999999999999,0.01,0.350044275246798
100% Corpus,3,0.9099999999999999,0.31,0.34533876038433026
100% Corpus,3,0.9099999999999999,0.61,0.38783513783006995
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3998258802108663
100% Corpus,3,0.9099999999999999,symmetric,0.34533876038433026
100% Corpus,3,symmetric,0.01,0.4074188359536721
100% Corpus,3,symmetric,0.31,0.3766625771914452
100% Corpus,3,symmetric,0.61,0.37742993725914853
100% Corpus,3,symmetric,0.9099999999999999,0.38980003599183394
100% Corpus,3,symmetric,symmetric,0.3766625771914452
100% Corpus,3,asymmetric,0.01,0.38759626554265186
100% Corpus,3,asymmetric,0.31,0.4693530266578701
100% Corpus,3,asymmetric,0.61,0.6279939835380087
100% Corpus,3,asymmetric,0.9099999999999999,0.5942427242716665
100% Corpus,3,asymmetric,symmetric,0.4620745888768702
100% Corpus,4,0.01,0.01,0.3826942776335511
100% Corpus,4,0.01,0.31,0.37723384666260207
100% Corpus,4,0.01,0.61,0.39543248463890157
100% Corpus,4,0.01,0.9099999999999999,0.36603309796639616
100% Corpus,4,0.01,symmetric,0.3934934995626058
100% Corpus,4,0.31,0.01,0.3700880769796291
100% Corpus,4,0.31,0.31,0.3737668474358299
100% Corpus,4,0.31,0.61,0.40954368533657104
100% Corpus,4,0.31,0.9099999999999999,0.42381001294834625
100% Corpus,4,0.31,symmetric,0.37783206016039383
100% Corpus,4,0.61,0.01,0.36651761204437505
100% Corpus,4,0.61,0.31,0.39499671326004665
100% Corpus,4,0.61,0.61,0.4209324823818357
100% Corpus,4,0.61,0.9099999999999999,0.40142497118056547
100% Corpus,4,0.61,symmetric,0.37413603826576897
100% Corpus,4,0.9099999999999999,0.01,0.3844708452678114
100% Corpus,4,0.9099999999999999,0.31,0.3630300444458862
100% Corpus,4,0.9099999999999999,0.61,0.40353439023333926
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.41683449236335135
100% Corpus,4,0.9099999999999999,symmetric,0.38424088892550434
100% Corpus,4,symmetric,0.01,0.3862336244701232
100% Corpus,4,symmetric,0.31,0.37411659897481503
100% Corpus,4,symmetric,0.61,0.4039614973757382
100% Corpus,4,symmetric,0.9099999999999999,0.3949570648201677
100% Corpus,4,symmetric,symmetric,0.3764729712345579
100% Corpus,4,asymmetric,0.01,0.36300647598408026
100% Corpus,4,asymmetric,0.31,0.3705870042197992
100% Corpus,4,asymmetric,0.61,0.4772677290702345
100% Corpus,4,asymmetric,0.9099999999999999,0.47641216868352365
100% Corpus,4,asymmetric,symmetric,0.3831532394468705
100% Corpus,5,0.01,0.01,0.396272693443479
100% Corpus,5,0.01,0.31,0.4044068704571734
100% Corpus,5,0.01,0.61,0.3759664585463053
100% Corpus,5,0.01,0.9099999999999999,0.39871582502041
100% Corpus,5,0.01,symmetric,0.3914973881798819
100% Corpus,5,0.31,0.01,0.4005290072795969
100% Corpus,5,0.31,0.31,0.40532970394038276
100% Corpus,5,0.31,0.61,0.40596811205361805
100% Corpus,5,0.31,0.9099999999999999,0.389803437654375
100% Corpus,5,0.31,symmetric,0.41199359263784335
100% Corpus,5,0.61,0.01,0.39075976316029626
100% Corpus,5,0.61,0.31,0.4046055470340756
100% Corpus,5,0.61,0.61,0.4418004592489555
100% Corpus,5,0.61,0.9099999999999999,0.4419067592528614
100% Corpus,5,0.61,symmetric,0.40665637286574113
100% Corpus,5,0.9099999999999999,0.01,0.43175341547471363
100% Corpus,5,0.9099999999999999,0.31,0.4126356318461838
100% Corpus,5,0.9099999999999999,0.61,0.4256892961273273
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.4272816317608511
100% Corpus,5,0.9099999999999999,symmetric,0.4269870257908517
100% Corpus,5,symmetric,0.01,0.3920402932987884
100% Corpus,5,symmetric,0.31,0.3740468207216889
100% Corpus,5,symmetric,0.61,0.3866943719433797
100% Corpus,5,symmetric,0.9099999999999999,0.4068000280308152
100% Corpus,5,symmetric,symmetric,0.37629232517273914
100% Corpus,5,asymmetric,0.01,0.3695639432881288
100% Corpus,5,asymmetric,0.31,0.3782421876481546
100% Corpus,5,asymmetric,0.61,0.3434583787298537
100% Corpus,5,asymmetric,0.9099999999999999,0.5083365676867705
100% Corpus,5,asymmetric,symmetric,0.34832499619246404
100% Corpus,6,0.01,0.01,0.4171378881919412
100% Corpus,6,0.01,0.31,0.39062123803616006
100% Corpus,6,0.01,0.61,0.3701910365975311
100% Corpus,6,0.01,0.9099999999999999,0.3913458381654103
100% Corpus,6,0.01,symmetric,0.41730169012460133
100% Corpus,6,0.31,0.01,0.41428535666325234
100% Corpus,6,0.31,0.31,0.38154048952610203
100% Corpus,6,0.31,0.61,0.3920498536824855
100% Corpus,6,0.31,0.9099999999999999,0.39756964508585035
100% Corpus,6,0.31,symmetric,0.39467871822438055
100% Corpus,6,0.61,0.01,0.42556462911850756
100% Corpus,6,0.61,0.31,0.3993586076924383
100% Corpus,6,0.61,0.61,0.4056162928088367
100% Corpus,6,0.61,0.9099999999999999,0.3922309784128213
100% Corpus,6,0.61,symmetric,0.3994509365632406
100% Corpus,6,0.9099999999999999,0.01,0.445092508287602
100% Corpus,6,0.9099999999999999,0.31,0.4232748617531747
100% Corpus,6,0.9099999999999999,0.61,0.391031473615096
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.44807398073277294
100% Corpus,6,0.9099999999999999,symmetric,0.42809745490982426
100% Corpus,6,symmetric,0.01,0.4222983288914092
100% Corpus,6,symmetric,0.31,0.3940283257166152
100% Corpus,6,symmetric,0.61,0.3987726374185741
100% Corpus,6,symmetric,0.9099999999999999,0.3771609768605251
100% Corpus,6,symmetric,symmetric,0.3677057854218793
100% Corpus,6,asymmetric,0.01,0.3831677929156867
100% Corpus,6,asymmetric,0.31,0.3405971537025834
100% Corpus,6,asymmetric,0.61,0.4996964090548457
100% Corpus,6,asymmetric,0.9099999999999999,0.5389326088097485
100% Corpus,6,asymmetric,symmetric,0.3411915190616279
100% Corpus,7,0.01,0.01,0.3555597707455102
100% Corpus,7,0.01,0.31,0.3428322429725753
100% Corpus,7,0.01,0.61,0.32172472033526756
100% Corpus,7,0.01,0.9099999999999999,0.3612101781482311
100% Corpus,7,0.01,symmetric,0.3558872286695927
100% Corpus,7,0.31,0.01,0.3998092754051087
100% Corpus,7,0.31,0.31,0.3841735049389066
100% Corpus,7,0.31,0.61,0.38604962341002885
100% Corpus,7,0.31,0.9099999999999999,0.34927340451156397
100% Corpus,7,0.31,symmetric,0.37954692196708306
100% Corpus,7,0.61,0.01,0.42911902615272485
100% Corpus,7,0.61,0.31,0.39568248769654335
100% Corpus,7,0.61,0.61,0.40019510055618257
100% Corpus,7,0.61,0.9099999999999999,0.4036454154167076
100% Corpus,7,0.61,symmetric,0.39815323216274
100% Corpus,7,0.9099999999999999,0.01,0.4135036626524635
100% Corpus,7,0.9099999999999999,0.31,0.4051300489305258
100% Corpus,7,0.9099999999999999,0.61,0.41901743184369294
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4569812007168682
100% Corpus,7,0.9099999999999999,symmetric,0.41070283259621165
100% Corpus,7,symmetric,0.01,0.3777774468591713
100% Corpus,7,symmetric,0.31,0.36542228396465665
100% Corpus,7,symmetric,0.61,0.34143901464955195
100% Corpus,7,symmetric,0.9099999999999999,0.3461851342492536
100% Corpus,7,symmetric,symmetric,0.37692948560192835
100% Corpus,7,asymmetric,0.01,0.39101605639032677
100% Corpus,7,asymmetric,0.31,0.4234068411691697
100% Corpus,7,asymmetric,0.61,0.433580908069436
100% Corpus,7,asymmetric,0.9099999999999999,0.621401828220339
100% Corpus,7,asymmetric,symmetric,0.41321296830549004
100% Corpus,8,0.01,0.01,0.42177882966303737
100% Corpus,8,0.01,0.31,0.4495820703625748
100% Corpus,8,0.01,0.61,0.4766502617008389
100% Corpus,8,0.01,0.9099999999999999,0.4154794243100753
100% Corpus,8,0.01,symmetric,0.3893343276333768
100% Corpus,8,0.31,0.01,0.46086523761355436
100% Corpus,8,0.31,0.31,0.4275241815058125
100% Corpus,8,0.31,0.61,0.43994047359965704
100% Corpus,8,0.31,0.9099999999999999,0.4319734893838867
100% Corpus,8,0.31,symmetric,0.45139872588934704
100% Corpus,8,0.61,0.01,0.4421302623251641
100% Corpus,8,0.61,0.31,0.41260394220823104
100% Corpus,8,0.61,0.61,0.43180694903421435
100% Corpus,8,0.61,0.9099999999999999,0.45759165827326753
100% Corpus,8,0.61,symmetric,0.42128103692456687
100% Corpus,8,0.9099999999999999,0.01,0.45031302146767627
100% Corpus,8,0.9099999999999999,0.31,0.44147572688951053
100% Corpus,8,0.9099999999999999,0.61,0.46530903970346194
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.49610520806378905
100% Corpus,8,0.9099999999999999,symmetric,0.45160369394887245
100% Corpus,8,symmetric,0.01,0.3928739306925846
100% Corpus,8,symmetric,0.31,0.3847065411940256
100% Corpus,8,symmetric,0.61,0.45564007474606816
100% Corpus,8,symmetric,0.9099999999999999,0.45828892232152907
100% Corpus,8,symmetric,symmetric,0.39521802098451125
100% Corpus,8,asymmetric,0.01,0.45536675257675197
100% Corpus,8,asymmetric,0.31,0.530269447485314
100% Corpus,8,asymmetric,0.61,0.5426687791875007
100% Corpus,8,asymmetric,0.9099999999999999,0.5550931548801432
100% Corpus,8,asymmetric,symmetric,0.4472083852574744
100% Corpus,9,0.01,0.01,0.3850963097022191
100% Corpus,9,0.01,0.31,0.38218430683452453
100% Corpus,9,0.01,0.61,0.3137244291293951
100% Corpus,9,0.01,0.9099999999999999,0.3327639496729046
100% Corpus,9,0.01,symmetric,0.398679851004883
100% Corpus,9,0.31,0.01,0.40694281539696164
100% Corpus,9,0.31,0.31,0.4056580866620245
100% Corpus,9,0.31,0.61,0.4365153987860242
100% Corpus,9,0.31,0.9099999999999999,0.42277975211123997
100% Corpus,9,0.31,symmetric,0.4271819990982698
